price,live_rooms,live_square,map_city,map_lat,map_lon,year,house_complex_name,flat_floor,house_floor_num,flat_building,flat_renovation,live_furniture,flat_toilet,mortgage,flat_priv_dorm
33000000,2,43,алматы,43.268175,76.94922,1971,2329.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0
26000000,1,40,алматы,43.312978069566,76.912212459336,2018,1582.0,2.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0
50000000,2,50,алматы,43.274502302328,76.815229655076,2024,2147.0,10.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
31500000,1,33,алматы,43.244092,76.941926,1964,1601.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0
23500000,1,47,алматы,43.297969490553,76.832912672311,2019,3245.0,3.0,5.0,3.0,1.0,1.0,2.0,0.0,2.0
26500000,2,47,алматы,43.216964,76.772602,2019,886.0,2.0,10.0,3.0,1.0,2.0,2.0,0.0,2.0
74000000,2,60,алматы,43.22833867253,76.940057523595,2022,2031.0,8.0,21.0,3.0,1.0,2.0,2.0,0.0,2.0
43000000,2,53,алматы,43.256726,76.911347,1983,636.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0
36000000,2,45,алматы,43.259483,76.934479,1968,2519.0,4.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0
32900000,2,53,алматы,43.212915063021,76.872928736106,1986,3026.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0
46000000,2,67,алматы,43.30658448056,77.003961871709,2023,2874.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0
27500000,1,42,алматы,43.223671,76.84365,1991,3177.0,9.0,9.0,2.0,1.0,2.0,2.0,0.0,2.0
27500000,2,73,алматы,43.222177774067,76.795218382846,2013,92.0,16.0,17.0,3.0,2.0,2.0,2.0,0.0,2.0
20900000,1,30,алматы,43.250094,76.884559,1963,171.0,1.0,4.0,1.0,4.0,2.0,2.0,0.0,2.0
85000000,5,103,алматы,43.202054,76.878109,1980,2904.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0
19500000,1,36,алматы,43.355056225019,76.924083865082,2009,2588.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0
39900000,3,77,алматы,43.291002547082,76.930586797622,1988,1601.0,3.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0
31700000,2,54,алматы,50.984644,71.941247,2017,921.0,9.0,9.0,3.0,1.0,1.0,2.0,0.0,2.0
75000000,2,71,алматы,43.236231961959,76.936727761495,2021,1667.0,10.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
21000000,1,45,алматы,43.311157,76.843048,2015,2892.0,5.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0
63222222,2,65,алматы,43.219427,76.95417,1970,1586.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0
15500000,1,20,алматы,43.214539,76.868515,1979,3177.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0
26900000,2,43,алматы,43.227287672519,76.857635805986,1972,880.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,2.0
27000000,1,32,алматы,43.23024,76.864383,1985,1417.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
46000000,3,62,алматы,43.3232,76.838673,2018,921.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0
37000000,3,71,алматы,43.288174,77.002616,2019,2070.0,4.0,6.0,2.0,1.0,2.0,2.0,0.0,2.0
57000000,2,80,алматы,43.202407565482,76.873767691723,2011,113.0,14.0,17.0,3.0,2.0,2.0,1.0,0.0,2.0
25500000,1,42,алматы,43.264873391899,76.898656685844,2005,1601.0,9.0,9.0,3.0,1.0,2.0,1.0,0.0,2.0
52000000,4,83,алматы,43.247439848955,76.88866242813,1981,3181.0,5.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0
31500000,2,44,алматы,43.196889,76.882511,1974,1553.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0
37500000,2,50,алматы,43.226673,76.905445,1963,3167.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0
52500000,2,66,алматы,43.243284,76.952903,2020,2636.0,12.0,13.0,3.0,1.0,1.0,2.0,0.0,2.0
37700000,3,63,алматы,43.2081,76.888943,1976,2729.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0
51000000,3,92,алматы,43.245208,76.814733,2010,2138.0,7.0,9.0,3.0,1.0,2.0,3.0,0.0,2.0
26000000,2,44,алматы,43.350051,76.989402,1978,2335.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,2.0
63000000,3,120,алматы,43.243485568875,76.875818990302,2011,640.0,18.0,20.0,3.0,1.0,2.0,2.0,0.0,2.0
35000000,2,57,алматы,43.222508,76.787011,2022,1124.0,3.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
18800000,2,36,алматы,43.301763,76.940506,1961,1601.0,4.0,6.0,2.0,1.0,1.0,1.0,0.0,2.0
35000000,1,40,алматы,43.251039,76.897468,1987,2463.0,5.0,9.0,2.0,2.0,2.0,2.0,0.0,2.0
35900000,1,41,алматы,43.253318,76.906496,1973,1543.0,3.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0
16000000,1,33,алматы,43.343443,76.973313,2006,3366.0,5.0,5.0,1.0,2.0,2.0,2.0,0.0,2.0
12600000,1,21,алматы,43.209789,76.888584,1976,2015.0,3.0,5.0,1.0,2.0,2.0,2.0,0.0,1.0
28500000,2,41,алматы,43.261571,76.934937,1959,1601.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0
55000000,3,62,алматы,43.262319,76.953703,1978,2481.0,2.0,9.0,1.0,2.0,2.0,1.0,0.0,2.0
34000000,2,80,алматы,43.221705980823,76.786440765848,2019,1124.0,9.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
52500000,2,70,алматы,43.268967369064,76.945720911026,2020,1440.0,10.0,17.0,3.0,1.0,1.0,2.0,0.0,2.0
57000000,4,98,алматы,43.265897798354,76.947666305557,1984,1611.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,2.0
33500000,2,52,алматы,43.212542,76.87413,1992,1313.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
41000000,2,44,алматы,43.243199,76.942555,1963,1601.0,3.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0
44000000,3,80,алматы,43.231955,76.839392,1988,695.0,5.0,9.0,2.0,2.0,2.0,1.0,0.0,2.0
41500000,3,70,алматы,43.234042947111,76.825940393957,1990,3192.0,4.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
25500000,2,55,алматы,43.365212,76.997226,1988,1601.0,4.0,5.0,2.0,4.0,2.0,1.0,0.0,2.0
25800000,2,45,алматы,43.232789,76.845779,1963,758.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0
27800000,1,50,алматы,43.228381,76.779474,2023,1601.0,6.0,6.0,1.0,1.0,3.0,1.0,0.0,2.0
38000000,3,60,алматы,43.200434925168,76.871595634254,1976,2432.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
61500000,3,92,алматы,43.218298294283,76.880121253562,2008,666.0,4.0,6.0,2.0,1.0,2.0,2.0,0.0,2.0
32000000,2,42,алматы,43.205241,76.899939,1975,591.0,2.0,5.0,2.0,4.0,2.0,2.0,0.0,2.0
26900000,1,37,алматы,43.170047772424,76.875159067479,2016,23.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0
29000000,1,37,алматы,43.260574388778,76.822670691107,2019,636.0,5.0,12.0,3.0,1.0,1.0,2.0,0.0,2.0
23000000,1,35,алматы,43.356645,76.924498,2008,2735.0,4.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0
33500000,3,61,алматы,43.254066,76.907098,1970,1124.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0
49000000,3,77,алматы,43.224093505929,76.844728090286,1991,576.0,1.0,9.0,2.0,2.0,1.0,2.0,0.0,2.0
41000000,2,43,алматы,43.252582,76.895959,2020,32.0,12.0,13.0,3.0,1.0,2.0,2.0,0.0,2.0
25000000,2,55,алматы,43.36594,76.950235,1986,1601.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0
45000000,2,50,алматы,43.214522421881,76.892049908802,2019,1189.0,4.0,12.0,3.0,1.0,2.0,2.0,0.0,2.0
43500000,3,66,алматы,43.208948,76.900379,1980,1485.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0
44000000,4,98,алматы,43.295496895977,76.913802380286,1989,751.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,2.0
62000000,3,75,алматы,43.245215,76.915542,1989,1689.0,8.0,9.0,1.0,2.0,1.0,1.0,0.0,2.0
52500000,2,92,алматы,43.31586,76.909775,2009,2601.0,7.0,8.0,3.0,4.0,2.0,1.0,0.0,2.0
37000000,2,71,алматы,43.222646,76.784245,2021,2148.0,7.0,10.0,3.0,1.0,1.0,2.0,0.0,2.0
42000000,3,53,алматы,43.206632334711,76.884845495224,2015,123.0,16.0,17.0,3.0,2.0,1.0,2.0,0.0,2.0
48500000,2,76,алматы,43.22949215372,76.831485201095,2014,527.0,5.0,13.0,3.0,1.0,1.0,3.0,0.0,2.0
39000000,2,56,алматы,43.265976,76.899516,2006,71.0,3.0,9.0,3.0,1.0,2.0,1.0,0.0,2.0
73000000,3,73,алматы,43.244361,76.939671,1966,1769.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0
18500000,2,40,алматы,43.323556463851,76.839652060188,2018,2370.0,5.0,5.0,3.0,2.0,2.0,2.0,0.0,2.0
44500000,3,73,алматы,43.223895,76.837991,1989,2537.0,5.0,9.0,2.0,2.0,2.0,2.0,0.0,2.0
30500000,2,52,алматы,43.297664771908,76.895389647147,2021,1537.0,2.0,8.0,3.0,1.0,1.0,2.0,0.0,2.0
55000000,4,74,алматы,43.19842,76.884937,1978,2942.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0
72000000,3,80,алматы,43.207738,76.883526,2010,2696.0,1.0,9.0,2.0,1.0,2.0,1.0,0.0,2.0
36900000,2,56,алматы,43.26962689073,76.95288796092,1978,1281.0,4.0,5.0,1.0,2.0,2.0,2.0,0.0,2.0
